MetEth, -0.183, 0.007
EthMeth, 0.178, 0.019
EthMethOL, -6.107, 0.006
MethOLEth, 6.116, 0.002
MethMethOL, -6.243, 0.047
MethOLMeth, 6.422, 0.005
meth2MF, -3.080, 0.013
2MFmeth, 3.028, 0.008
methTol, -3.204, 0.012
TolMeth, 3.2559, 0.023
meth2MIND, -8.797, 0.010
2MINDmeth, 8.764, 0.030
methNeP, -0.154, 0.047
NePmeth, 0.309, 0.026
methNeP2, 0.036, 0.017
NeP2meth, -0.043, 0.012
27, -0.031, 0.028
72, 0.204, 0.043
