MetEth, -0.0199,0.015
EthMeth, 0.188, 0.018
EthMethOL, -6.046, 0.008
MethOLEth, 6.047, 0.003
MethMethOL, -6.212, 0.047
MethOLMeth, 6.388, 0.007
meth2MF, -3.125, 0.008
2MFmeth, 3.084, 0.008
methTol, -3.246, 0.011
TolMeth, 3.268, 0.026
meth2MIND, -8.789,0.031
2MINDmeth, 8.744, 0.020
methNeP, -0.207,0.018
NePmeth, 0.359, 0.021
methNeP2, -0.053, 0.024
NeP2meth, -0.027, 0.022
27, -0.067, 0.022
72, 0.119,0.057
