MetEth, 0.046, 0.021
EthMethOL, -6.260,0.051
MetMethOL, -6.214,0.055
Met2MF, -2.903,0.029
MetTol, -3.065,0.031
Met2MIND, -8.571,0.029
MetNeoP,0.190,0.060
2Cy7Cy, 0.08,0.142
