MetEth, -0.0144, 0.0557
EthMethOL, -6.0911, 0.0349
MetMethOL, -5.9687, 0.0417
Met2MF, -2.8337, 0.0365
MetTol, -3.0686, 0.0217
Met2MIND,-8.6737,0.0826
MetNeoP,0.1390,0.0550
2Cy7Cy, -0.1157,0.077
