0.00000 12.158153 12.040029
0.05000 10.599954 10.799821
0.10000 9.638516 9.620310
0.15000 8.509448 8.486858
0.20000 7.839949 7.951558
0.25000 6.869815 6.754958
0.30000 5.965973 5.990771
0.35000 5.210811 5.178209
0.40000 4.387080 4.519542
0.45000 3.645575 3.883297
0.50000 3.255625 3.354875
0.55000 2.450657 2.528686
0.60000 2.043942 1.949670
0.65000 1.552281 1.498801
0.70000 1.145789 1.191886
0.75000 0.428032 0.489299
0.80000 -0.544749 -0.434325
0.85000 -0.848098 -1.029695
0.90000 -2.227174 -2.024188
0.95000 -4.134467 -3.764588
1.00000 -8.647452 -8.760794
