MetEth, -0.04860, 0.003
EthMethOL, -6.2298,0.0127
MetMethOL, -6.0838,0.0073
Met2MF, -3.4023,0.0310
MetTol, -3.7907,0.0299
Met2MIND,-9.1503,0.0430
MetNeoP,-2.0981,0.0130
MetNeoP2, -0.4860,0.0030
