MetEth, -0.014, 0.056
EthMeth,  0.049, 0.023
EthMethOL, -6.091, 0.035
MethOLEth, 6.090, 0.022
MethMethOL, -5.969, 0.042
MethOLMeth, 5.993, 0.054
meth2MF, -2.834, 0.037
2MFmeth, 2.923, 0.055
methTol, -3.069, 0.022
TolMeth, 2.891, 0.093
meth2MIND, -8.674, 0.083
2MINDmeth, 8.643, 0.083
methNeP, 0.139, 0.055
NePmeth, -0.200, 0.054
methNeP2, 0.104, 0.063
NeP2meth, -0.111, 0.006
27, -0.116, 0.077
72, 0.018,0.081
